STATE,ZONE,STATION_CALL_ID
MN,'North Beltrami',KVWU 
MN,'North Cass',KXVG 
MN,'North Itasca',KFOZ 
MN,'North St. Louis',KCDD 
MN,'North St. Louis',KORB 
MN,'Olmsted',KRST 
MN,'Pennington',KTVF 
MN,'Pine',K04W 
MN,'Pipestone',KPQN 
MN,'Pope',KGHW 
MN,'Ramsey',KSTP 
MN,'Redwood',KRWF 
MN,'Renville',KOVL 
MN,'Rice',KFBL 
MN,'Rock',KLYV 
MN,'Roseau',KROX 
MN,'Roseau',KRRT 
MN,'Sherburne',KSTC 
MN,'South Aitkin',KAIT 
MN,'South Aitkin',KHZX 
MN,'South Beltrami',KBJI 
MN,'South Cass',KPWC 
MN,'South Itasca',KGPZ 
MN,'Southern Cook/North Shore',KCKC 
MN,'Southern Lake/North Shore',KBFW 
MN,'Southern Lake/North Shore',KTWM 
MN,'Stearns',KD39 
MN,'Stearns',KPEX 
MN,'Steele',KOWA 
MN,'Stevens',KMOX 
MN,'Swift',KAQP 
MN,'Swift',KBBB 
MN,'Todd',K14Y 
MN,'Traverse',KETH 
MN,'Wadena',KSAZ 
MN,'Waseca',KACQ 
MN,'Washington',K21D 
MN,'Watonwan',KJYG 
MN,'West Becker',KDTL 
MN,'West Otter Tail',KFFM 
MN,'West Polk',KCKN 
MN,'Winona',KONA 
MN,'Wright',KCFE 
MN,'Wright',KMGG 
MN,'Yellow Medicine',KCNB 
MN,'Yellow Medicine',KGDB 
MO,'Adair',KIRK 
MO,'Barry',KHFJ 
MO,'Boone',KCOU 
MO,'Buchanan',KSTJ 
MO,'Butler',KPOF 
MO,'Callaway',KJEF 
MO,'Clay',KMKC 
MO,'Greene',KSGF 
MO,'Henry',KGLY 
MO,'Howell',KUNO 
MO,'Jackson',KLXT 
MO,'Jasper',KJLN 
MO,'Johnson',KRCM 
MO,'Johnson',KSZL 
MO,'Maries',KVIH 
MO,'Miller',KAIZ 
MO,'Pettis',KDMO 
MO,'Platte',KMCI 
MO,'Pulaski',KTBN 
MO,'Scott',KCGI 
MO,'St. Charles',KSET 
MO,'St. Francois',KFAM 
MO,'St. Louis',KSTL 
MO,'St. Louis',KSUS 
MO,'Taney',KBBG 
MS,'Adams',KHEZ 
MS,'Carroll',KGWO 
MS,'DeSoto',KOLV 
MS,'Forrest',KHBG 
MS,'Hinds',KHKS 
MS,'Jones',KPIB 
MS,'Lafayette',KUOX 
MS,'Lauderdale',KMEI 
MS,'Lauderdale',KNMM 
MS,'Lee',KTUP 
MS,'Lowndes',KCBM 
MS,'Lowndes',KGTR 
MS,'Pike',KMCB 
MS,'Rankin',KJAN 
MS,'Southern Hancock',KHSA 
MS,'Tunica',KUTA 
MS,'Washington',KGLH 
MT,'Beaverhead and Western Madison below 6000ft',KDLN 
MT,'Butte/Blackfoot Region',K3DU 
MT,'Butte/Blackfoot Region',KBTM 
MT,'Cascade County below 5000ft',KGFA 
MT,'Cascade County below 5000ft',KGTF 
MT,'Central and Southern Valley',KGGW 
MT,'Custer',KMLS 
MT,'Dawson',KGDV 
MT,'Eastern Glacier, Western Toole, and Central Pondera',KCTB 
MT,'Fallon',KBHK 
MT,'Fergus County below 4500ft',KLWT 
MT,'Flathead/Mission Valleys',KGPI 
MT,'Gallatin Valley',KBZN 
MT,'Gallatin and Madison County Mountains and Centennial Mountains',KWYS 
MT,'Helena Valley',KHLN 
MT,'Hill County',KHVR 
MT,'Livingston Area',KLVM 
MT,'Lower Clark Fork Region',KMLP 
MT,'Missoula/Bitterroot Valleys',KMSO 
MT,'Richland',KSDY 
MT,'Southwestern Yellowstone',KBIL 
MT,'Western Roosevelt',KOLF 
NC,'Alamance',KBUY 
NC,'Anson',KAFP 
NC,'Ashe',KGEV 
NC,'Beaufort',KOCW 
NC,'Bladen',KEYF 
NC,'Cabarrus',KJQF 
NC,'Catawba',KHKY 
NC,'Cherokee',KRHP 
NC,'Chowan',KEDE 
NC,'Cleveland',KEHO 
NC,'Coastal Brunswick',KSUT 
NC,'Columbus',KCPC 
NC,'Cumberland',KFAY 
NC,'Cumberland',KFBG 
NC,'Cumberland',KPOB 
NC,'Davidson',KEXX 
NC,'Duplin',KDPL 
NC,'East Carteret',KMRH 
NC,'Forsyth',KINT 
NC,'Franklin',KLHZ 
NC,'Gaston',KAKH 
NC,'Granville',KHNZ 
NC,'Greater Caldwell',KMRN 
NC,'Greater Rutherford',KFQD 
NC,'Guilford',KGSO 
NC,'Halifax',KRZZ 
NC,'Henderson',KAVL 
NC,'Hertford',KASJ 
NC,'Hertford',KECG 
NC,'Inland New Hanover',KILM 
NC,'Inland Onslow',KOAJ 
NC,'Iredell',KSVH 
NC,'Johnston',KJNX 
NC,'Lee',KTTA 
NC,'Lenoir',KISO 
NC,'Lincoln',KIPJ 
NC,'Macon',K1A5 
NC,'Mecklenburg',KCLT 
NC,'Moore',KSOP 
NC,'Nash',KRWI 
NC,'Northern Outer Banks',KFFA 
NC,'Orange',KIGX 
NC,'Person',KTDF 
NC,'Pitt',KPGV 
NC,'Randolph',KHBI 
NC,'Richmond',KHFF 
NC,'Richmond',KRCZ 
NC,'Robeson',KLBT 
NC,'Rockingham',KSIF 
NC,'Rowan',KRUQ 
NC,'Sampson',KCTZ 
NC,'Scotland',KMEB 
NC,'Southern Craven',KEWN 
NC,'Southern Craven',KNKT 
NC,'Stanly',KVUJ 
NC,'Surry',KMWK 
NC,'Union',KEQY 
NC,'Wake',KRDU 
NC,'Watauga',KTNB 
NC,'Wayne',KGSB 
NC,'Wayne',KGWW 
NC,'West Carteret',KNJM 
NC,'Western Currituck',KONX 
NC,'Wilkes',KUKF 
ND,'Adams',KHEI 
ND,'Bowman',KBPP 
ND,'Burleigh',KBIS 
