year,begin_time,end_time,episode_id,event_id,state_text,zone,event_type,short_ugcs
2009,2009-12-25 03:00:00 UTC,2009-12-25 20:00 UTC,35109,202890,NE,"HARLAN",Blizzard,NE-C083|NE-Z083
2009,2009-12-24 19:00:00 UTC,2009-12-26 00:00 UTC,35109,202906,NE,"HOWARD",Blizzard,NE-C093|NE-Z047
2009,2009-12-24 08:00:00 UTC,2009-12-26 00:00 UTC,35109,202892,NE,"FILLMORE",Blizzard,NE-C059|NE-Z077
2009,2009-12-24 19:00:00 UTC,2009-12-26 00:00 UTC,35109,202908,NE,"GREELEY",Blizzard,NE-C077|NE-Z040
2009,2009-12-08 15:00:00 UTC,2009-12-09 07:00 UTC,34353,198653,IA,"TAYLOR",Blizzard,IA-C173|IA-Z092
2009,2009-12-08 15:00:00 UTC,2009-12-09 07:00 UTC,34353,198654,IA,"ADAMS",Blizzard,IA-C003|IA-Z081
2009,2009-12-25 00:00:00 UTC,2009-12-26 00:00 UTC,35109,202895,NE,"KEARNEY",Blizzard,NE-C099|NE-Z074
2009,2009-12-07 22:00:00 UTC,2009-12-09 09:30 UTC,34800,201314,WI,"GRANT",Blizzard,WI-C043|WI-Z061
2009,2009-12-24 22:00:00 UTC,2009-12-26 00:00 UTC,35109,202894,NE,"ADAMS",Blizzard,NE-C001|NE-Z075
2009,2009-12-25 06:00:00 UTC,2009-12-25 20:00 UTC,35108,202884,KS,"SMITH",Blizzard,KS-C183|KS-Z006
2009,2009-01-27 04:00:00 UTC,2009-01-27 18:00 UTC,24908,144924,WY,"PLATTE",Blizzard,WY-C031|WY-Z067
2009,2009-12-25 01:00:00 UTC,2009-12-26 00:00 UTC,35109,202889,NE,"FRANKLIN",Blizzard,NE-C061|NE-Z084
2009,2009-12-25 06:00:00 UTC,2009-12-25 20:00 UTC,35108,202885,KS,"PHILLIPS",Blizzard,KS-C147|KS-Z005
2009,2009-12-24 09:00:00 UTC,2009-12-26 00:00 UTC,35109,202905,NE,"NANCE",Blizzard,NE-C125|NE-Z041
2009,2009-12-25 03:00:00 UTC,2009-12-25 20:00 UTC,35109,202891,NE,"FURNAS",Blizzard,NE-C065|NE-Z082
2009,2009-12-24 19:00:00 UTC,2009-12-26 00:00 UTC,35109,202907,NE,"SHERMAN",Blizzard,NE-C163|NE-Z046
2009,2009-12-23 04:00:00 UTC,2009-12-26 02:00 UTC,34919,201393,NE,"LOGAN",Blizzard,NE-C113|NE-Z037
2009,2009-12-23 04:00:00 UTC,2009-12-26 02:00 UTC,34919,201399,NE,"THOMAS",Blizzard,NE-C171|NE-Z025
2009,2009-12-08 00:00:00 UTC,2009-12-09 09:30 UTC,34799,200779,MN,"FILLMORE",Blizzard,MN-C045|MN-Z095
2009,2009-12-07 21:00:00 UTC,2009-12-09 09:30 UTC,34798,200775,IA,"WINNESHIEK",Blizzard,IA-C191|IA-Z010
2009,2009-12-23 04:00:00 UTC,2009-12-26 02:00 UTC,34919,201394,NE,"MCPHERSON",Blizzard,NE-C117|NE-Z036
2009,2009-12-25 02:00:00 UTC,2009-12-25 21:00 UTC,35003,203511,NE,"NORTH SIOUX",Blizzard,NE-Z095
2009,2009-12-23 04:00:00 UTC,2009-12-26 02:00 UTC,34919,201391,NE,"BLAINE",Blizzard,NE-C009|NE-Z026
